['C0', '4', '2.517767']
['C1', '4', '0.206838']
['C2', '4', '0.523994']
['C3', '3', '0.138131']
['C4', '4', '2.050099']
['C5', '2', '4.505985']
['N82', '', 0]
['N94', '', 0]
['N85', '', 0]
['S0', '', 0]
['S1', 'C3', 1]
['S3', '', 0]
['S2', '', 0]
['S0', 'C1', 1]
['N95', 'C3', 1]
['S2', 'C5', 1]
['N13', 'C1', 1]
['N61', 'C3', 1]
['N31', 'C3', 1]
['N75', 'C3', 1]
['N50', 'C3', 1]
['N72', 'C3', 1]
['N55', 'C3', 1]
['N77', 'C3', 1]
['N82', 'C5', 1]
['N83', 'C1', 1]
['N85', 'C1', 1]
['N51', 'C1', 1]
['N53', 'C3', 1]
['N15', 'C3', 1]
['N92', 'C3', 1]
['N52', 'C3', 1]
['N38', 'C3', 1]
['N34', 'C3', 1]
['N93', 'C3', 1]
['N91', 'C3', 1]
['N28', 'C3', 1]
['N32', 'C3', 1]
['N81', 'C3', 1]
['N45', 'C3', 1]
['N94', 'C3', 1]
['N49', 'C3', 1]
['N0', 'C3', 1]
['N57', 'C3', 1]
['N12', 'C3', 1]
['N20', 'C3', 1]
['N96', 'C3', 1]
['N51', 'C3', 1]
['N17', 'C3', 1]
['N36', 'C3', 1]
['N1', 'C3', 1]
['N7', 'C3', 1]
['N9', 'C3', 1]
['N90', 'C3', 1]
['N23', 'C3', 1]
['N25', 'C3', 1]
['N74', 'C3', 1]
['N14', 'C5', 1]
['N40', 'C5', 1]
['N7', 'C1', 1]
['N29', 'C1', 1]
['N34', 'C1', 1]
['N93', 'C1', 1]
['N62', 'C1', 1]
['N88', 'C1', 1]
['N0', 'C1', 1]
['N68', 'C1', 1]
['N99', 'C1', 1]
----------------------
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}

['N24', 'C1', 1]
Action: ['move', 'N51', 'N24', 10.661419295488]

Open List:
----------------------
['N9', 'C1', 1]
['N72', 'C1', 1]
['N32', 'C1', 1]
['N76', 'C1', 1]
['N86', 'C1', 1]
['N60', 'C1', 1]
['N42', 'C1', 1]
['N68', 'C3', 1]
['N42', 'C3', 1]
['N35', 'C3', 1]
['N67', 'C3', 1]
['N97', 'C3', 1]
['N64', 'C3', 1]
['N79', 'C3', 1]
['N16', 'C3', 1]
['N99', 'C3', 1]
['N87', 'C3', 1]
['N6', 'C3', 1]
['N3', 'C3', 1]
['N60', 'C3', 1]
['N62', 'C3', 1]
['N71', 'C3', 1]
['N58', 'C3', 1]
['N4', 'C3', 1]
['N30', 'C3', 1]
['N2', 'C3', 1]
['N37', 'C3', 1]
['N98', 'C3', 1]
['N41', 'C3', 1]
['N14', 'C3', 1]
['N66', 'C3', 1]
['N83', 'C3', 1]
['N56', 'C3', 1]
['N27', 'C3', 1]
['N43', 'C3', 1]
['N65', 'C3', 1]
['N19', 'C3', 1]
['N5', 'C3', 1]
['N40', 'C3', 1]
['N84', 'C3', 1]
['N44', 'C3', 1]
['N39', 'C3', 1]
['N47', 'C3', 1]
['N33', 'C3', 1]
['N10', 'C3', 1]
['N85', 'C3', 1]
['N18', 'C3', 1]
['N8', 'C3', 1]
['EXIT', 'C3', 1]
['N21', 'C3', 1]
['N48', 'C3', 1]
['N73', 'C3', 1]
['N11', 'C3', 1]
['N70', 'C3', 1]
['N13', 'C3', 1]
['N24', 'C3', 1]
['N76', 'C3', 1]
['N86', 'C3', 1]
['N46', 'C3', 1]
['N78', 'C3', 1]
['N88', 'C3', 1]
['N89', 'C3', 1]
['S3', 'C3', 1]
['N22', 'C3', 1]
['N59', 'C3', 1]
['N34', 'C5', 1]
['N97', 'C5', 1]
['N54', 'C5', 1]
['N28', 'C5', 1]
['N25', 'C5', 1]
['N94', 'C5', 1]
['N87', 'C5', 1]
['N32', 'C5', 1]
['N99', 'C5', 1]
['N4', 'C1', 1]
['N55', 'C1', 1]
['N31', 'C1', 1]
['N38', 'C1', 1]
['N37', 'C1', 1]
['N98', 'C1', 1]
['N41', 'C1', 1]
['N12', 'C1', 1]
['N14', 'C1', 1]
['N97', 'C1', 1]
['N66', 'C1', 1]
['N56', 'C1', 1]
['N27', 'C1', 1]
['N43', 'C1', 1]
['N57', 'C1', 1]
['N33', 'C1', 1]
['N52', 'C1', 1]
['N81', 'C1', 1]
['N1', 'C1', 1]
['N25', 'C1', 1]
['N11', 'C1', 1]
['N75', 'C1', 1]
['N39', 'C1', 1]
['N18', 'C1', 1]
['N16', 'C1', 1]
['N49', 'C1', 1]
['N96', 'C1', 1]
['N53', 'C1', 1]
['N23', 'C1', 1]
['N92', 'C1', 1]
['N79', 'C1', 1]
['N6', 'C1', 1]
['N40', 'C1', 1]
['N63', 'C1', 1]
['N80', 'C1', 1]
['N64', 'C1', 1]
----------------------

Closed List:
----------------------
['EXIT', '', 0]
['N57', '', 0]
['N58', '', 0]
['N8', '', 0]
['N93', '', 0]
['N50', '', 0]
['N20', '', 0]
['N47', '', 0]
['N71', '', 0]
['N73', '', 0]
['N38', '', 0]
['N3', '', 0]
['N17', '', 0]
['N46', '', 0]
['N86', '', 0]
['N65', '', 0]
['N69', '', 0]
['N54', '', 0]
['N78', '', 0]
['N31', '', 0]
['N27', '', 0]
['N4', '', 0]
['N43', '', 0]
['N32', '', 0]
['N83', '', 0]
['N62', '', 0]
['N95', '', 0]
['N12', '', 0]
['N33', '', 0]
['N15', '', 0]
['N81', '', 0]
['N11', '', 0]
['N45', '', 0]
['N6', '', 0]
['N10', '', 0]
['N59', '', 0]
['N25', '', 0]
['N26', '', 0]
['N98', '', 0]
['N39', '', 0]
['N80', '', 0]
['N90', '', 0]
['N34', '', 0]
['N36', '', 0]
['N30', '', 0]
['N2', '', 0]
['N52', '', 0]
['N87', '', 0]
['N74', '', 0]
['N72', '', 0]
['N5', '', 0]
['N35', '', 0]
['N51', '', 0]
['N91', '', 0]
['N28', '', 0]
['N42', '', 0]
['N14', '', 0]
['N89', '', 0]
['N63', '', 0]
['N76', '', 0]
['N60', '', 0]
['N77', '', 0]
['N23', '', 0]
['N7', '', 0]
['N0', '', 0]
['N66', '', 0]
['N40', '', 0]
['N99', '', 0]
['N13', '', 0]
['N29', '', 0]
['N61', '', 0]
['N75', '', 0]
['S1', '', 0]
['N55', '', 0]
['N21', '', 0]
['N18', '', 0]
['N48', '', 0]
['N56', '', 0]
['N49', '', 0]
['N79', '', 0]
['N16', '', 0]
['N9', '', 0]
['N88', '', 0]
['N70', '', 0]
['N84', '', 0]
['N37', '', 0]
['N44', '', 0]
['N19', '', 0]
['S4', '', 0]
['N96', '', 0]
['N41', '', 0]
['N97', '', 0]
['N67', '', 0]
['N92', '', 0]
['N1', '', 0]
['N22', '', 0]
['N64', '', 0]
['N53', '', 0]
['N24', '', 0]
['N68', '', 0]
['N82', '', 0]
['N94', '', 0]
['N85', '', 0]
['S0', '', 0]
['S1', 'C3', 1]
['S3', '', 0]
['S2', '', 0]
['S0', 'C1', 1]
['N95', 'C3', 1]
['S2', 'C5', 1]
['N13', 'C1', 1]
['N61', 'C3', 1]
['N31', 'C3', 1]
['N75', 'C3', 1]
['N50', 'C3', 1]
['N72', 'C3', 1]
['N55', 'C3', 1]
['N77', 'C3', 1]
['N82', 'C5', 1]
['N83', 'C1', 1]
['N85', 'C1', 1]
['N51', 'C1', 1]
['N53', 'C3', 1]
['N15', 'C3', 1]
['N92', 'C3', 1]
['N52', 'C3', 1]
['N38', 'C3', 1]
['N34', 'C3', 1]
['N93', 'C3', 1]
['N91', 'C3', 1]
['N28', 'C3', 1]
['N32', 'C3', 1]
['N81', 'C3', 1]
['N45', 'C3', 1]
['N94', 'C3', 1]
['N49', 'C3', 1]
['N0', 'C3', 1]
['N57', 'C3', 1]
['N12', 'C3', 1]
['N20', 'C3', 1]
['N96', 'C3', 1]
['N51', 'C3', 1]
['N17', 'C3', 1]
['N36', 'C3', 1]
['N1', 'C3', 1]
['N7', 'C3', 1]
['N9', 'C3', 1]
['N90', 'C3', 1]
['N23', 'C3', 1]
['N25', 'C3', 1]
['N74', 'C3', 1]
['N14', 'C5', 1]
['N40', 'C5', 1]
['N7', 'C1', 1]
['N29', 'C1', 1]
['N34', 'C1', 1]
['N93', 'C1', 1]
['N62', 'C1', 1]
['N88', 'C1', 1]
['N0', 'C1', 1]
['N68', 'C1', 1]
['N99', 'C1', 1]
['N24', 'C1', 1]
----------------------

['N9', 'C1', 1]
Action: ['move', 'N51', 'N9', 5.190388179808001]

Open List:
----------------------
['N72', 'C1', 1]
['N32', 'C1', 1]
['N76', 'C1', 1]
['N86', 'C1', 1]
['N60', 'C1', 1]
['N42', 'C1', 1]
['N68', 'C3', 1]
['N42', 'C3', 1]
['N35', 'C3', 1]
['N67', 'C3', 1]
['N97', 'C3', 1]
['N64', 'C3', 1]
['N79', 'C3', 1]
['N16', 'C3', 1]
['N99', 'C3', 1]
['N87', 'C3', 1]
['N6', 'C3', 1]
['N3', 'C3', 1]
['N60', 'C3', 1]
['N62', 'C3', 1]
['N71', 'C3', 1]
['N58', 'C3', 1]
['N4', 'C3', 1]
['N30', 'C3', 1]
['N2', 'C3', 1]
['N37', 'C3', 1]
['N98', 'C3', 1]
['N41', 'C3', 1]
['N14', 'C3', 1]
['N66', 'C3', 1]
['N83', 'C3', 1]
['N56', 'C3', 1]
['N27', 'C3', 1]
['N43', 'C3', 1]
['N65', 'C3', 1]
['N19', 'C3', 1]
['N5', 'C3', 1]
['N40', 'C3', 1]
['N84', 'C3', 1]
['N44', 'C3', 1]
['N39', 'C3', 1]
['N47', 'C3', 1]
['N33', 'C3', 1]
['N10', 'C3', 1]
['N85', 'C3', 1]
['N18', 'C3', 1]
['N8', 'C3', 1]
['EXIT', 'C3', 1]
['N21', 'C3', 1]
['N48', 'C3', 1]
['N73', 'C3', 1]
['N11', 'C3', 1]
['N70', 'C3', 1]
['N13', 'C3', 1]
['N24', 'C3', 1]
['N76', 'C3', 1]
['N86', 'C3', 1]
['N46', 'C3', 1]
['N78', 'C3', 1]
['N88', 'C3', 1]
['N89', 'C3', 1]
['S3', 'C3', 1]
['N22', 'C3', 1]
['N59', 'C3', 1]
['N34', 'C5', 1]
['N97', 'C5', 1]
['N54', 'C5', 1]
['N28', 'C5', 1]
['N25', 'C5', 1]
['N94', 'C5', 1]
['N87', 'C5', 1]
['N32', 'C5', 1]
['N99', 'C5', 1]
['N4', 'C1', 1]
['N55', 'C1', 1]
['N31', 'C1', 1]
['N38', 'C1', 1]
['N37', 'C1', 1]
['N98', 'C1', 1]
['N41', 'C1', 1]
['N12', 'C1', 1]
['N14', 'C1', 1]
['N97', 'C1', 1]
['N66', 'C1', 1]
['N56', 'C1', 1]
['N27', 'C1', 1]
['N43', 'C1', 1]
['N57', 'C1', 1]
['N33', 'C1', 1]
['N52', 'C1', 1]
['N81', 'C1', 1]
['N1', 'C1', 1]
['N25', 'C1', 1]
['N11', 'C1', 1]
['N75', 'C1', 1]
['N39', 'C1', 1]
['N18', 'C1', 1]
['N16', 'C1', 1]
['N49', 'C1', 1]
['N96', 'C1', 1]
['N53', 'C1', 1]
['N23', 'C1', 1]
['N92', 'C1', 1]
['N79', 'C1', 1]
['N6', 'C1', 1]
['N40', 'C1', 1]
['N63', 'C1', 1]
['N80', 'C1', 1]
['N64', 'C1', 1]
----------------------

Closed List:
----------------------
['EXIT', '', 0]
['N57', '', 0]
['N58', '', 0]
['N8', '', 0]
['N93', '', 0]
['N50', '', 0]
['N20', '', 0]
['N47', '', 0]
['N71', '', 0]
['N73', '', 0]
['N38', '', 0]
['N3', '', 0]
['N17', '', 0]
['N46', '', 0]
['N86', '', 0]
['N65', '', 0]
['N69', '', 0]
['N54', '', 0]
['N78', '', 0]
['N31', '', 0]
['N27', '', 0]
['N4', '', 0]
['N43', '', 0]
['N32', '', 0]
['N83', '', 0]
['N62', '', 0]
['N95', '', 0]
['N12', '', 0]
['N33', '', 0]
['N15', '', 0]
['N81', '', 0]
['N11', '', 0]
['N45', '', 0]
['N6', '', 0]
['N10', '', 0]
['N59', '', 0]
['N25', '', 0]
['N26', '', 0]
['N98', '', 0]
['N39', '', 0]
['N80', '', 0]
['N90', '', 0]
['N34', '', 0]
['N36', '', 0]
['N30', '', 0]
['N2', '', 0]
['N52', '', 0]
['N87', '', 0]
['N74', '', 0]
['N72', '', 0]
['N5', '', 0]
['N35', '', 0]
['N51', '', 0]
['N91', '', 0]
['N28', '', 0]
['N42', '', 0]
['N14', '', 0]
['N89', '', 0]
['N63', '', 0]
['N76', '', 0]
['N60', '', 0]
['N77', '', 0]
['N23', '', 0]
['N7', '', 0]
['N0', '', 0]
['N66', '', 0]
['N40', '', 0]
['N99', '', 0]
['N13', '', 0]
['N29', '', 0]
['N61', '', 0]
['N75', '', 0]
['S1', '', 0]
['N55', '', 0]
['N21', '', 0]
['N18', '', 0]
['N48', '', 0]
['N56', '', 0]
['N49', '', 0]
['N79', '', 0]
['N16', '', 0]
['N9', '', 0]
['N88', '', 0]
['N70', '', 0]
['N84', '', 0]
['N37', '', 0]
['N44', '', 0]
['N19', '', 0]
['S4', '', 0]
['N96', '', 0]
['N41', '', 0]
['N97', '', 0]
['N67', '', 0]
['N92', '', 0]
['N1', '', 0]
['N22', '', 0]
['N64', '', 0]
['N53', '', 0]
['N24', '', 0]
['N68', '', 0]
['N82', '', 0]
['N94', '', 0]
['N85', '', 0]
['S0', '', 0]
['S1', 'C3', 1]
['S3', '', 0]
['S2', '', 0]
['S0', 'C1', 1]
['N95', 'C3', 1]
['S2', 'C5', 1]
['N13', 'C1', 1]
['N61', 'C3', 1]
['N31', 'C3', 1]
['N75', 'C3', 1]
['N50', 'C3', 1]
['N72', 'C3', 1]
['N55', 'C3', 1]
['N77', 'C3', 1]
['N82', 'C5', 1]
['N83', 'C1', 1]
['N85', 'C1', 1]
['N51', 'C1', 1]
['N53', 'C3', 1]
['N15', 'C3', 1]
['N92', 'C3', 1]
['N52', 'C3', 1]
['N38', 'C3', 1]
['N34', 'C3', 1]
['N93', 'C3', 1]
['N91', 'C3', 1]
['N28', 'C3', 1]
['N32', 'C3', 1]
['N81', 'C3', 1]
['N45', 'C3', 1]
['N94', 'C3', 1]
['N49', 'C3', 1]
['N0', 'C3', 1]
['N57', 'C3', 1]
['N12', 'C3', 1]
['N20', 'C3', 1]
['N96', 'C3', 1]
['N51', 'C3', 1]
['N17', 'C3', 1]
['N36', 'C3', 1]
['N1', 'C3', 1]
['N7', 'C3', 1]
['N9', 'C3', 1]
['N90', 'C3', 1]
['N23', 'C3', 1]
['N25', 'C3', 1]
['N74', 'C3', 1]
['N14', 'C5', 1]
['N40', 'C5', 1]
['N7', 'C1', 1]
['N29', 'C1', 1]
['N34', 'C1', 1]
['N93', 'C1', 1]
['N62', 'C1', 1]
['N88', 'C1', 1]
['N0', 'C1', 1]
['N68', 'C1', 1]
['N99', 'C1', 1]
['N24', 'C1', 1]
['N9', 'C1', 1]
----------------------
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}

['N72', 'C1', 1]
Action: ['move', 'N51', 'N72', 1.682686982372]

Open List:
----------------------
['N32', 'C1', 1]
['N76', 'C1', 1]
['N86', 'C1', 1]
['N60', 'C1', 1]
['N42', 'C1', 1]
['N68', 'C3', 1]
['N42', 'C3', 1]
['N35', 'C3', 1]
['N67', 'C3', 1]
['N97', 'C3', 1]
['N64', 'C3', 1]
['N79', 'C3', 1]
['N16', 'C3', 1]
['N99', 'C3', 1]
['N87', 'C3', 1]
['N6', 'C3', 1]
['N3', 'C3', 1]
['N60', 'C3', 1]
['N62', 'C3', 1]
['N71', 'C3', 1]
['N58', 'C3', 1]
['N4', 'C3', 1]
['N30', 'C3', 1]
['N2', 'C3', 1]
['N37', 'C3', 1]
['N98', 'C3', 1]
['N41', 'C3', 1]
['N14', 'C3', 1]
['N66', 'C3', 1]
['N83', 'C3', 1]
['N56', 'C3', 1]
['N27', 'C3', 1]
['N43', 'C3', 1]
['N65', 'C3', 1]
['N19', 'C3', 1]
['N5', 'C3', 1]
['N40', 'C3', 1]
['N84', 'C3', 1]
['N44', 'C3', 1]
['N39', 'C3', 1]
['N47', 'C3', 1]
['N33', 'C3', 1]
['N10', 'C3', 1]
['N85', 'C3', 1]
['N18', 'C3', 1]
['N8', 'C3', 1]
['EXIT', 'C3', 1]
['N21', 'C3', 1]
['N48', 'C3', 1]
['N73', 'C3', 1]
['N11', 'C3', 1]
['N70', 'C3', 1]
['N13', 'C3', 1]
['N24', 'C3', 1]
['N76', 'C3', 1]
['N86', 'C3', 1]
['N46', 'C3', 1]
['N78', 'C3', 1]
['N88', 'C3', 1]
['N89', 'C3', 1]
['S3', 'C3', 1]
['N22', 'C3', 1]
['N59', 'C3', 1]
['N34', 'C5', 1]
['N97', 'C5', 1]
['N54', 'C5', 1]
['N28', 'C5', 1]
['N25', 'C5', 1]
['N94', 'C5', 1]
['N87', 'C5', 1]
['N32', 'C5', 1]
['N99', 'C5', 1]
['N4', 'C1', 1]
['N55', 'C1', 1]
['N31', 'C1', 1]
['N38', 'C1', 1]
['N37', 'C1', 1]
['N98', 'C1', 1]
['N41', 'C1', 1]
['N12', 'C1', 1]
['N14', 'C1', 1]
['N97', 'C1', 1]
['N66', 'C1', 1]
['N56', 'C1', 1]
['N27', 'C1', 1]
['N43', 'C1', 1]
['N57', 'C1', 1]
['N33', 'C1', 1]
['N52', 'C1', 1]
['N81', 'C1', 1]
['N1', 'C1', 1]
['N25', 'C1', 1]
['N11', 'C1', 1]
['N75', 'C1', 1]
['N39', 'C1', 1]
['N18', 'C1', 1]
['N16', 'C1', 1]
['N49', 'C1', 1]
['N96', 'C1', 1]
['N53', 'C1', 1]
['N23', 'C1', 1]
['N92', 'C1', 1]
['N79', 'C1', 1]
['N6', 'C1', 1]
['N40', 'C1', 1]
['N63', 'C1', 1]
['N80', 'C1', 1]
['N64', 'C1', 1]
['N91', 'C1', 1]
['S3', 'C1', 1]
['N2', 'C1', 1]
['N22', 'C1', 1]
----------------------

Closed List:
----------------------
['EXIT', '', 0]
['N57', '', 0]
['N58', '', 0]
['N8', '', 0]
['N93', '', 0]
['N50', '', 0]
['N20', '', 0]
['N47', '', 0]
['N71', '', 0]
['N73', '', 0]
['N38', '', 0]
['N3', '', 0]
['N17', '', 0]
['N46', '', 0]
['N86', '', 0]
['N65', '', 0]
['N69', '', 0]
['N54', '', 0]
['N78', '', 0]
['N31', '', 0]
['N27', '', 0]
['N4', '', 0]
['N43', '', 0]
['N32', '', 0]
['N83', '', 0]
['N62', '', 0]
['N95', '', 0]
['N12', '', 0]
['N33', '', 0]
['N15', '', 0]
['N81', '', 0]
['N11', '', 0]
['N45', '', 0]
['N6', '', 0]
['N10', '', 0]
['N59', '', 0]
['N25', '', 0]
['N26', '', 0]
['N98', '', 0]
['N39', '', 0]
['N80', '', 0]
['N90', '', 0]
['N34', '', 0]
['N36', '', 0]
['N30', '', 0]
['N2', '', 0]
['N52', '', 0]
['N87', '', 0]
['N74', '', 0]
['N72', '', 0]
['N5', '', 0]
['N35', '', 0]
['N51', '', 0]
['N91', '', 0]
['N28', '', 0]
['N42', '', 0]
['N14', '', 0]
['N89', '', 0]
['N63', '', 0]
['N76', '', 0]
['N60', '', 0]
['N77', '', 0]
['N23', '', 0]
['N7', '', 0]
['N0', '', 0]
['N66', '', 0]
['N40', '', 0]
['N99', '', 0]
['N13', '', 0]
['N29', '', 0]
['N61', '', 0]
['N75', '', 0]
['S1', '', 0]
['N55', '', 0]
['N21', '', 0]
['N18', '', 0]
['N48', '', 0]
['N56', '', 0]
['N49', '', 0]
['N79', '', 0]
['N16', '', 0]
['N9', '', 0]
['N88', '', 0]
['N70', '', 0]
['N84', '', 0]
['N37', '', 0]
['N44', '', 0]
['N19', '', 0]
['S4', '', 0]
['N96', '', 0]
['N41', '', 0]
['N97', '', 0]
['N67', '', 0]
['N92', '', 0]
['N1', '', 0]
['N22', '', 0]
['N64', '', 0]
['N53', '', 0]
['N24', '', 0]
['N68', '', 0]
['N82', '', 0]
['N94', '', 0]
['N85', '', 0]
['S0', '', 0]
['S1', 'C3', 1]
['S3', '', 0]
['S2', '', 0]
['S0', 'C1', 1]
['N95', 'C3', 1]
['S2', 'C5', 1]
['N13', 'C1', 1]
['N61', 'C3', 1]
['N31', 'C3', 1]
['N75', 'C3', 1]
['N50', 'C3', 1]
['N72', 'C3', 1]
['N55', 'C3', 1]
['N77', 'C3', 1]
['N82', 'C5', 1]
['N83', 'C1', 1]
['N85', 'C1', 1]
['N51', 'C1', 1]
['N53', 'C3', 1]
['N15', 'C3', 1]
['N92', 'C3', 1]
['N52', 'C3', 1]
['N38', 'C3', 1]
['N34', 'C3', 1]
['N93', 'C3', 1]
['N91', 'C3', 1]
['N28', 'C3', 1]
['N32', 'C3', 1]
['N81', 'C3', 1]
['N45', 'C3', 1]
['N94', 'C3', 1]
['N49', 'C3', 1]
['N0', 'C3', 1]
['N57', 'C3', 1]
['N12', 'C3', 1]
['N20', 'C3', 1]
['N96', 'C3', 1]
['N51', 'C3', 1]
['N17', 'C3', 1]
['N36', 'C3', 1]
['N1', 'C3', 1]
['N7', 'C3', 1]
['N9', 'C3', 1]
['N90', 'C3', 1]
['N23', 'C3', 1]
['N25', 'C3', 1]
['N74', 'C3', 1]
['N14', 'C5', 1]
['N40', 'C5', 1]
['N7', 'C1', 1]
['N29', 'C1', 1]
['N34', 'C1', 1]
['N93', 'C1', 1]
['N62', 'C1', 1]
['N88', 'C1', 1]
['N0', 'C1', 1]
['N68', 'C1', 1]
['N99', 'C1', 1]
['N24', 'C1', 1]
['N9', 'C1', 1]
['N72', 'C1', 1]
----------------------
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}
MOVE {'S1': [7.0, ['C2', 'C3']], 'S2': [6.0, ['C4', 'C5']], 'S3': [0, []], 'S0': [4.0, ['C0']], 'S4': [0, []]}

['N32', 'C1', 1]
Action: ['move', 'N51', 'N32', 1.86727406131]

Open List:
----------------------
['N76', 'C1', 1]
['N86', 'C1', 1]
['N60', 'C1', 1]
['N42', 'C1', 1]
['N68', 'C3', 1]
['N42', 'C3', 1]
['N35', 'C3', 1]
['N67', 'C3', 1]
['N97', 'C3', 1]
['N64', 'C3', 1]
['N79', 'C3', 1]
['N16', 'C3', 1]
['N99', 'C3', 1]
['N87', 'C3', 1]
['N6', 'C3', 1]
['N3', 'C3', 1]
['N60', 'C3', 1]
['N62', 'C3', 1]
['N71', 'C3', 1]
['N58', 'C3', 1]
['N4', 'C3', 1]
['N30', 'C3', 1]
['N2', 'C3', 1]
['N37', 'C3', 1]
['N98', 'C3', 1]
['N41', 'C3', 1]
['N14', 'C3', 1]
['N66', 'C3', 1]
['N83', 'C3', 1]
['N56', 'C3', 1]
['N27', 'C3', 1]
['N43', 'C3', 1]
['N65', 'C3', 1]
['N19', 'C3', 1]
['N5', 'C3', 1]
['N40', 'C3', 1]
['N84', 'C3', 1]
['N44', 'C3', 1]
['N39', 'C3', 1]
['N47', 'C3', 1]
['N33', 'C3', 1]
['N10', 'C3', 1]
['N85', 'C3', 1]
['N18', 'C3', 1]
['N8', 'C3', 1]
['EXIT', 'C3', 1]
['N21', 'C3', 1]
['N48', 'C3', 1]
['N73', 'C3', 1]
['N11', 'C3', 1]
['N70', 'C3', 1]
['N13', 'C3', 1]
['N24', 'C3', 1]
['N76', 'C3', 1]
['N86', 'C3', 1]
['N46', 'C3', 1]
['N78', 'C3', 1]
['N88', 'C3', 1]
['N89', 'C3', 1]
['S3', 'C3', 1]
['N22', 'C3', 1]
['N59', 'C3', 1]
['N34', 'C5', 1]
['N97', 'C5', 1]
['N54', 'C5', 1]
['N28', 'C5', 1]
['N25', 'C5', 1]
['N94', 'C5', 1]
['N87', 'C5', 1]
['N32', 'C5', 1]
['N99', 'C5', 1]
['N4', 'C1', 1]
['N55', 'C1', 1]
['N31', 'C1', 1]
['N38', 'C1', 1]
['N37', 'C1', 1]
['N98', 'C1', 1]
['N41', 'C1', 1]
['N12', 'C1', 1]
['N14', 'C1', 1]
['N97', 'C1', 1]
['N66', 'C1', 1]
['N56', 'C1', 1]
['N27', 'C1', 1]
['N43', 'C1', 1]
['N57', 'C1', 1]
['N33', 'C1', 1]
['N52', 'C1', 1]
['N81', 'C1', 1]
['N1', 'C1', 1]
['N25', 'C1', 1]
['N11', 'C1', 1]
['N75', 'C1', 1]
['N39', 'C1', 1]
['N18', 'C1', 1]
['N16', 'C1', 1]
['N49', 'C1', 1]
['N96', 'C1', 1]
['N53', 'C1', 1]
['N23', 'C1', 1]
['N92', 'C1', 1]
['N79', 'C1', 1]
['N6', 'C1', 1]
['N40', 'C1', 1]
['N63', 'C1', 1]
['N80', 'C1', 1]
['N64', 'C1', 1]
['N91', 'C1', 1]
['S3', 'C1', 1]
['N2', 'C1', 1]
['N22', 'C1', 1]
['N95', 'C1', 1]
['N17', 'C1', 1]
['N36', 'C1', 1]
----------------------

Closed List:
----------------------
['EXIT', '', 0]
['N57', '', 0]
['N58', '', 0]
['N8', '', 0]
['N93', '', 0]
['N50', '', 0]
['N20', '', 0]
['N47', '', 0]
['N71', '', 0]
['N73', '', 0]
['N38', '', 0]
['N3', '', 0]
['N17', '', 0]
['N46', '', 0]
['N86', '', 0]
['N65', '', 0]
['N69', '', 0]
['N54', '', 0]
['N78', '', 0]
['N31', '', 0]
['N27', '', 0]
['N4', '', 0]
['N43', '', 0]
['N32', '', 0]
['N83', '', 0]
['N62', '', 0]
['N95', '', 0]
['N12', '', 0]
['N33', '', 0]
['N15', '', 0]
['N81', '', 0]
['N11', '', 0]
['N45', '', 0]
['N6', '', 0]
['N10', '', 0]
['N59', '', 0]
['N25', '', 0]
['N26', '', 0]
['N98', '', 0]
['N39', '', 0]
['N80', '', 0]
